head,relation,tail,label
dt_O15244,drug,drug_13597,1
dt_P46059,drug,drug_27447,1
dt_P08183,drug,drug_15938,1
dt_O15245,drug,drug_4091,1
dt_P08183,drug,drug_3676,1
dt_Q8TCC7,drug,drug_1175,1
dt_Q8TCC7,drug,drug_43708,1
dt_P08183,drug,drug_5757,1
dt_Q9UIG8,drug,drug_5280723,1
dt_Q92887,drug,drug_41867,1
dt_P53985,drug,drug_9883933,1
dt_P46721,drug,drug_4112,1
dt_P08183,drug,drug_3348,1
dt_Q0GE19,drug,drug_23925,1
dt_P08183,drug,drug_3025986,1
dt_Q86UW2,drug,drug_23666345,1
dt_O15440,drug,drug_23700083,1
dt_P33527,drug,drug_84691,1
dt_Q9UPY5,drug,drug_33032,1
dt_Q9UNQ0,drug,drug_11103,1
dt_Q7RTY1,drug,drug_10917,1
dt_Q9Y694,drug,drug_135398508,1
dt_Q8TCC7,drug,drug_5039,1
dt_O15439,drug,drug_1701,1
dt_P08183,drug,drug_6456014,1
dt_P08183,drug,drug_54454,1
dt_Q9NSA0,drug,drug_35370,1
dt_P08183,drug,drug_44187,1
dt_P46721,drug,drug_5280360,1
dt_Q6U841,drug,drug_516892,1
dt_Q02978,drug,drug_51,1
dt_Q92887,drug,drug_150311,1
dt_Q4U2R8,drug,drug_65625,1
dt_P08183,drug,drug_3372,1
dt_Q92887,drug,drug_84691,1
dt_Q99808,drug,drug_158795,1
dt_O15244,drug,drug_3446,1
dt_Q9UNQ0,drug,drug_6842999,1
dt_P50443,drug,drug_1117,1
dt_Q8N370,drug,drug_6306,1
dt_P08183,drug,drug_5281239,1
dt_P08183,drug,drug_3386,1
dt_P08183,drug,drug_932,1
dt_Q9NPD5,drug,drug_60822,1
dt_Q9Y226,drug,drug_33032,1
dt_P53985,drug,drug_31703,1
dt_Q9UNQ0,drug,drug_4583,1
dt_P46059,drug,drug_33255,1
dt_O15438,drug,drug_3385,1
dt_Q9Y6L6,drug,drug_221493,1
dt_O15244,drug,drug_2130,1
dt_Q969I6,drug,drug_5961,1
dt_Q14542,drug,drug_135398508,1
dt_P46059,drug,drug_5311447,1
dt_Q8TCC7,drug,drug_2754,1
dt_Q9UNQ0,drug,drug_10288191,1
dt_O94956,drug,drug_23666345,1
dt_P08183,drug,drug_5281878,1
dt_Q92887,drug,drug_11167602,1
dt_P08183,drug,drug_5997,1
dt_Q9UGQ3,drug,drug_108223,1
dt_Q9Y6R1,drug,drug_516892,1
dt_P08183,drug,drug_10096344,1
dt_P08183,drug,drug_11228183,1
dt_Q9NPD5,drug,drug_12594,1
dt_O15439,drug,drug_78759347,1
dt_Q4U2R8,drug,drug_3440,1
dt_Q12908,drug,drug_3035026,1
dt_Q9UNQ0,drug,drug_2720,1
dt_P08183,drug,drug_462382,1
dt_Q9UNQ0,drug,drug_6442661,1
dt_P08183,drug,drug_441300,1
dt_P53985,drug,drug_338,1
dt_P08183,drug,drug_54687,1
dt_Q96Q91,drug,drug_516892,1
dt_Q9UP95,drug,drug_4873,1
dt_Q9Y6L6,drug,drug_44470395,1
dt_P12236,drug,drug_190,1
dt_Q9UNQ0,drug,drug_36314,1
dt_Q9NPD5,drug,drug_644241,1
dt_Q9UNQ0,drug,drug_5282451,1
dt_P08183,drug,drug_16076883,1
dt_Q4U2R8,drug,drug_3383,1
dt_Q9UNQ0,drug,drug_77999,1
dt_P08183,drug,drug_54675776,1
dt_Q9UNQ0,drug,drug_132127,1
dt_Q4U2R8,drug,drug_5280360,1
dt_Q16348,drug,drug_5311447,1
dt_P08183,drug,drug_11243969,1
dt_P08183,drug,drug_54680692,1
dt_P08183,drug,drug_2803,1
dt_A1A5C7,drug,drug_5002,1
dt_P08183,drug,drug_5481350,1
dt_Q8TCC7,drug,drug_65625,1
dt_Q9UNQ0,drug,drug_13342,1
dt_P46721,drug,drug_6282,1
dt_O15439,drug,drug_130881,1
dt_P08183,drug,drug_92727,1
dt_Q9UNQ0,drug,drug_135565082,1
dt_P46721,drug,drug_68770,1
dt_P08183,drug,drug_84691,1
dt_O15245,drug,drug_3343,1
dt_P08183,drug,drug_3085416,1
dt_P08183,drug,drug_45110509,1
dt_Q9UNQ0,drug,drug_4112,1
dt_Q9Y6L6,drug,drug_3657,1
dt_O75751,drug,drug_4091,1
dt_P08183,drug,drug_54677972,1
dt_P08183,drug,drug_656406,1
dt_P33527,drug,drug_3085416,1
dt_P46059,drug,drug_5462501,1
dt_O15245,drug,drug_5927,1
dt_Q9Y6L6,drug,drug_6450551,1
dt_P08183,drug,drug_2157,1
dt_Q9NPD5,drug,drug_2754,1
dt_O15245,drug,drug_3494,1
dt_Q9UNQ0,drug,drug_84691,1
dt_P43007,drug,drug_5950,1
dt_P33527,drug,drug_3685,1
dt_Q9NSA0,drug,drug_3001028,1
dt_Q9UNQ0,drug,drug_176870,1
dt_Q96J66,drug,drug_5718,1
dt_P08183,drug,drug_9832912,1
dt_P48065,drug,drug_247,1
dt_Q8TCC7,drug,drug_446157,1
dt_Q9NPD5,drug,drug_3310,1
dt_Q86UK0,drug,drug_5997,1
dt_P08183,drug,drug_5870,1
dt_Q76EJ3,drug,drug_8629,1
dt_Q9UNQ0,drug,drug_5329102,1
dt_O95342,drug,drug_6675,1
dt_Q86UW1,drug,drug_6675,1
dt_P08183,drug,drug_5839,1
dt_O15440,drug,drug_60837,1
dt_P33527,drug,drug_2771,1
dt_Q9Y2C5,drug,drug_2244,1
dt_P48751,drug,drug_769,1
dt_Q92887,drug,drug_5361871,1
dt_Q16348,drug,drug_2609,1
dt_Q9UNQ0,drug,drug_667490,1
dt_A0AV02,drug,drug_14180,1
dt_O75751,drug,drug_774,1
dt_Q9UNQ0,drug,drug_5291,1
dt_P08183,drug,drug_3823,1
dt_Q9UNQ0,drug,drug_5281707,1
dt_O15438,drug,drug_64139,1
dt_P08183,drug,drug_54841,1
dt_Q70HW3,drug,drug_34755,1
dt_P08183,drug,drug_4058,1
dt_Q9H936,drug,drug_33032,1
dt_P08183,drug,drug_54726191,1
dt_Q9NPD5,drug,drug_3657,1
dt_O76082,drug,drug_4873,1
dt_P08183,drug,drug_4893,1
dt_Q9NP78,drug,drug_148123,1
dt_Q8TCC7,drug,drug_23665721,1
dt_P46059,drug,drug_6335986,1
dt_Q9NRA2,drug,drug_943,1
dt_Q13336,drug,drug_11719,1
dt_Q9Y6L6,drug,drug_159594,1
dt_Q92887,drug,drug_221493,1
dt_P33527,drug,drug_31703,1
dt_Q96J66,drug,drug_4112,1
dt_Q9UNQ0,drug,drug_9808998,1
dt_Q9Y6L6,drug,drug_216239,1
dt_Q16348,drug,drug_107807,1
dt_Q9Y6L6,drug,drug_5287969,1
dt_Q9UNQ0,drug,drug_148160,1
dt_Q9Y6L6,drug,drug_54687,1
dt_Q9UNQ0,drug,drug_24812758,1
dt_P33527,drug,drug_4212,1
dt_Q6ICL7,drug,drug_9068,1
dt_P08183,drug,drug_9574768,1
dt_P08183,drug,drug_1236,1
dt_Q92887,drug,drug_3310,1
dt_Q92887,drug,drug_6918204,1
dt_O15245,drug,drug_2771,1
dt_P08183,drug,drug_72519,1
dt_Q86UW1,drug,drug_5280360,1
dt_Q9UNQ0,drug,drug_123631,1
dt_Q9Y6L6,drug,drug_5281887,1
dt_Q9UNQ0,drug,drug_24826799,1
dt_O75751,drug,drug_2803,1
dt_Q92887,drug,drug_6456014,1
dt_O15245,drug,drug_1978,1
dt_Q8TCC7,drug,drug_5881,1
dt_Q9HAS3,drug,drug_119182,1
dt_P08183,drug,drug_135398737,1
dt_Q92887,drug,drug_101068009,1
dt_P08183,drug,drug_5284514,1
dt_P08183,drug,drug_72474,1
dt_Q9NPD5,drug,drug_3062,1
dt_Q9Y6L6,drug,drug_11626560,1
dt_Q96BD0,drug,drug_5280360,1
dt_Q9NSA0,drug,drug_5280363,1
dt_P08183,drug,drug_5358,1
dt_P33527,drug,drug_3310,1
dt_Q9Y6L6,drug,drug_150311,1
dt_Q9UNQ0,drug,drug_101524,1
dt_P08183,drug,drug_4463,1
dt_P08183,drug,drug_3333,1
dt_Q16348,drug,drug_47499,1
dt_Q8TCC7,drug,drug_3001028,1
dt_P46721,drug,drug_4911,1
dt_P46059,drug,drug_188803,1
dt_P08183,drug,drug_3345,1
dt_Q5T3U5,drug,drug_2733525,1
dt_P46721,drug,drug_213039,1
dt_Q9Y694,drug,drug_5280360,1
dt_Q86UW2,drug,drug_5280360,1
dt_P31645,drug,drug_4640,1
dt_Q9UNQ0,drug,drug_5362420,1
dt_P08183,drug,drug_3385,1
dt_Q9Y6L6,drug,drug_5920,1
dt_P08183,drug,drug_448537,1
dt_Q6YBV0,drug,drug_6305,1
dt_Q6ZQN7,drug,drug_5920,1
dt_P08183,drug,drug_56959087,1
dt_Q96FL8,drug,drug_3001028,1
dt_P08183,drug,drug_5329102,1
dt_O15439,drug,drug_20279,1
dt_P08183,drug,drug_5035,1
dt_P08183,drug,drug_5865,1
dt_O94956,drug,drug_33032,1
dt_P11166,drug,drug_24577,1
dt_Q9HAB3,drug,drug_493570,1
dt_Q8TCC7,drug,drug_5904,1
dt_P46059,drug,drug_5282242,1
dt_Q8TCC7,drug,drug_4766,1
dt_Q9NPD5,drug,drug_450096,1
dt_O15244,drug,drug_774,1
dt_Q9NRA2,drug,drug_188803,1
dt_Q4U2R8,drug,drug_130881,1
dt_P04920,drug,drug_769,1
dt_Q6NT16,drug,drug_1103,1
dt_P46059,drug,drug_44093,1
dt_Q9Y6L6,drug,drug_3383,1
dt_Q9UNQ0,drug,drug_16741,1
dt_O43868,drug,drug_6029,1
dt_Q9Y6L6,drug,drug_4112,1
dt_Q96J66,drug,drug_64987,1
dt_P08183,drug,drug_446156,1
dt_P41440,drug,drug_4112,1
dt_Q9Y2C5,drug,drug_3672,1
dt_Q8TD20,drug,drug_108223,1
dt_Q9UNQ0,drug,drug_5283560,1
dt_Q96BD0,drug,drug_5904,1
dt_O15245,drug,drug_5413,1
dt_P08183,drug,drug_3517,1
dt_P46721,drug,drug_1176,1
dt_Q9BXS9,drug,drug_769,1
dt_O15439,drug,drug_6675,1
dt_Q9NUT2,drug,drug_31703,1
dt_O76082,drug,drug_2520,1
dt_Q92887,drug,drug_59844,1
dt_Q8TE54,drug,drug_769,1
dt_Q96FL8,drug,drug_5413,1
dt_Q9NYB5,drug,drug_5819,1
dt_Q99808,drug,drug_596,1
dt_P31641,drug,drug_239,1
dt_Q96FL8,drug,drug_4993,1
dt_P08183,drug,drug_6918289,1
dt_Q9UNQ0,drug,drug_130881,1
dt_O60669,drug,drug_60822,1
dt_Q14916,drug,drug_2244,1
dt_P08183,drug,drug_10294813,1
dt_P08183,drug,drug_65889,1
dt_P46721,drug,drug_2764,1
dt_Q8TCC7,drug,drug_130881,1
dt_P08183,drug,drug_596,1
dt_Q9UNQ0,drug,drug_2756,1
dt_O15244,drug,drug_46220502,1
dt_Q9UNQ0,drug,drug_2336,1
dt_Q9UNQ0,drug,drug_135440466,1
dt_P33527,drug,drug_2148,1
dt_P08183,drug,drug_3002190,1
dt_Q8WWT9,drug,drug_51,1
dt_Q9UNQ0,drug,drug_3255,1
dt_P46721,drug,drug_9848818,1
dt_O15245,drug,drug_5078,1
dt_Q9UNQ0,drug,drug_65217,1
dt_Q9NPD5,drug,drug_3062316,1
dt_P08183,drug,drug_6917778,1
dt_Q9UGH3,drug,drug_54670067,1
dt_Q9NPD5,drug,drug_5291,1
dt_Q6ZSM3,drug,drug_586,1
dt_O43826,drug,drug_5958,1
dt_P08183,drug,drug_2249,1
dt_Q86UW2,drug,drug_6675,1
dt_Q96FL8,drug,drug_13597,1
dt_Q96NT5,drug,drug_148121,1
dt_Q9UNQ0,drug,drug_41867,1
dt_Q9H015,drug,drug_596,1
dt_A6NNN8,drug,drug_33032,1
dt_Q9UNQ0,drug,drug_54675776,1
dt_Q96FL8,drug,drug_6257,1
dt_P46721,drug,drug_2663,1
dt_Q9Y6L6,drug,drug_9577124,1
dt_P08183,drug,drug_5568,1
dt_Q92887,drug,drug_4488490,1
dt_P33527,drug,drug_2725,1
dt_Q9NPD5,drug,drug_11431716,1
dt_P08183,drug,drug_4932,1
dt_P08183,drug,drug_3685,1
dt_Q8TCC7,drug,drug_33255,1
dt_O15439,drug,drug_5280363,1
dt_P08183,drug,drug_24978538,1
dt_P08183,drug,drug_135565082,1
dt_P46059,drug,drug_6321416,1
dt_O15439,drug,drug_5280360,1
dt_Q09428,drug,drug_5505,1
dt_P08183,drug,drug_43725,1
dt_Q96FL8,drug,drug_71329,1
dt_Q4U2R8,drug,drug_76806,1
dt_P08183,drug,drug_11556711,1
dt_O15432,drug,drug_84691,1
dt_P33527,drug,drug_104842,1
dt_Q4U2R8,drug,drug_446541,1
dt_O15245,drug,drug_2803,1
dt_P08183,drug,drug_171548,1
dt_P08183,drug,drug_150311,1
dt_Q96FL8,drug,drug_23700083,1
dt_Q9NPD5,drug,drug_6282,1
dt_O15245,drug,drug_5578,1
dt_Q9NPD5,drug,drug_130881,1
dt_Q9Y6L6,drug,drug_9833444,1
dt_P08183,drug,drug_5351322,1
dt_Q92887,drug,drug_64142,1
dt_Q9UNQ0,drug,drug_2764,1
dt_O15439,drug,drug_472335,1
dt_Q9UIG8,drug,drug_5904,1
dt_Q8IWA5,drug,drug_305,1
dt_Q9NPD5,drug,drug_446156,1
dt_O15245,drug,drug_60825,1
dt_Q9NPD5,drug,drug_135398735,1
dt_O15245,drug,drug_35370,1
dt_Q8TCC7,drug,drug_2655,1
dt_P08183,drug,drug_457193,1
dt_O15375,drug,drug_4911,1
dt_Q4U2R8,drug,drug_5718,1
dt_O76082,drug,drug_135398508,1
dt_O15439,drug,drug_60837,1
dt_P08183,drug,drug_57697,1
dt_O60706,drug,drug_5505,1
dt_Q92887,drug,drug_24360,1
dt_O15439,drug,drug_221493,1
dt_Q9NPD5,drug,drug_23666345,1
dt_Q9Y6L6,drug,drug_44187,1
dt_P46721,drug,drug_5282451,1
dt_O76082,drug,drug_7045767,1
dt_Q01650,drug,drug_3446,1
dt_Q9UNQ0,drug,drug_54454,1
dt_P08183,drug,drug_52918379,1
dt_Q8WWI5,drug,drug_305,1
dt_Q9Y6L6,drug,drug_11431716,1
dt_P08183,drug,drug_5281881,1
dt_O76082,drug,drug_72324,1
dt_O15245,drug,drug_5291,1
dt_Q9BXS9,drug,drug_1117,1
dt_Q9Y345,drug,drug_4158,1
dt_P33527,drug,drug_11243969,1
dt_O76082,drug,drug_5487427,1
dt_P08183,drug,drug_72111,1
dt_Q9UNQ0,drug,drug_216239,1
dt_Q92887,drug,drug_43805,1
dt_P08183,drug,drug_9810929,1
dt_P08183,drug,drug_42611257,1
dt_Q06495,drug,drug_24456,1
dt_O15245,drug,drug_5748,1
dt_O15245,drug,drug_5487427,1
dt_P46059,drug,drug_9369,1
dt_P08183,drug,drug_1464,1
dt_P33527,drug,drug_72474,1
dt_Q9UNQ0,drug,drug_4212,1
dt_Q8NFH8,drug,drug_5329102,1
dt_P49281,drug,drug_23925,1
dt_Q14542,drug,drug_6256,1
dt_P46721,drug,drug_65999,1
dt_O95255,drug,drug_2333,1
dt_Q92887,drug,drug_216239,1
dt_Q8NDX2,drug,drug_33032,1
dt_Q7RTY1,drug,drug_1175,1
dt_O15245,drug,drug_4513,1
dt_P08183,drug,drug_5978,1
dt_Q05940,drug,drug_5202,1
dt_O60669,drug,drug_338,1
dt_P08183,drug,drug_1972,1
dt_Q92887,drug,drug_3001028,1
dt_P46059,drug,drug_6713928,1
dt_O15245,drug,drug_6918554,1
dt_Q96QD8,drug,drug_5961,1
dt_Q92887,drug,drug_72938,1
dt_Q5T3U5,drug,drug_36314,1
dt_O15245,drug,drug_2520,1
dt_Q14973,drug,drug_6675,1
dt_P08183,drug,drug_1775,1
dt_Q8TCC7,drug,drug_4112,1
dt_Q01959,drug,drug_3007,1
dt_Q7RTT9,drug,drug_4091,1
dt_Q9UNQ0,drug,drug_60699,1
dt_O15438,drug,drug_3310,1
dt_O43868,drug,drug_135398508,1
dt_Q15758,drug,drug_135398741,1
dt_P21439,drug,drug_13342,1
dt_P08183,drug,drug_4679,1
dt_Q9UNQ0,drug,drug_5978,1
dt_Q12908,drug,drug_23666345,1
dt_O15245,drug,drug_5358,1
dt_Q9Y6L6,drug,drug_5311309,1
dt_P08183,drug,drug_5328940,1
dt_Q16348,drug,drug_3420,1
dt_Q9NPD5,drug,drug_148123,1
dt_Q92887,drug,drug_31703,1
dt_O94956,drug,drug_5339,1
dt_P54219,drug,drug_297812,1
dt_P08183,drug,drug_2307,1
dt_Q92887,drug,drug_644077,1
dt_Q4U2R8,drug,drug_33613,1
dt_Q9UNQ0,drug,drug_11167602,1
dt_Q9UIG8,drug,drug_54313,1
dt_O94911,drug,drug_23666345,1
dt_Q8NCS7,drug,drug_305,1
dt_Q9UNQ0,drug,drug_5280343,1
dt_P33527,drug,drug_60699,1
dt_P08183,drug,drug_5478883,1
dt_O94956,drug,drug_4075,1
dt_Q92887,drug,drug_5284645,1
dt_Q9HAS3,drug,drug_2723601,1
dt_Q8N695,drug,drug_104745,1
dt_O15439,drug,drug_24360,1
dt_Q8TE54,drug,drug_943,1
dt_O94956,drug,drug_5281040,1
dt_Q9UNQ0,drug,drug_45375806,1
dt_Q9Y6L6,drug,drug_3310,1
dt_P08183,drug,drug_5959,1
dt_Q92887,drug,drug_2610,1
dt_P46059,drug,drug_5743,1
dt_Q9Y694,drug,drug_2471,1
dt_P46721,drug,drug_5291,1
dt_Q86VL8,drug,drug_2756,1
dt_Q01650,drug,drug_5961,1
dt_Q92887,drug,drug_14982,1
dt_Q9Y6L6,drug,drug_443874,1
dt_O15440,drug,drug_135398658,1
dt_P41440,drug,drug_101068009,1
dt_Q9Y6L6,drug,drug_5281078,1
dt_O15245,drug,drug_43805,1
dt_O00337,drug,drug_6256,1
dt_O15438,drug,drug_135398658,1
dt_Q9UNQ0,drug,drug_237,1
dt_O15245,drug,drug_4748,1
dt_Q01959,drug,drug_11978813,1
dt_Q9UNQ0,drug,drug_1175,1
dt_O15244,drug,drug_84691,1
dt_O94956,drug,drug_3488,1
dt_Q9UHC9,drug,drug_5997,1
dt_Q9Y694,drug,drug_35370,1
dt_O15438,drug,drug_10140,1
dt_Q9NSA0,drug,drug_54687,1
dt_O15245,drug,drug_2249,1
dt_P08183,drug,drug_3957,1
dt_P08183,drug,drug_4748,1
dt_Q01650,drug,drug_6106,1
dt_P08183,drug,drug_60822,1
dt_O43868,drug,drug_135398739,1
dt_Q9UNQ0,drug,drug_439530,1
dt_Q12908,drug,drug_221493,1
dt_P08183,drug,drug_55191,1
dt_Q9UNQ0,drug,drug_124886,1
dt_Q9UIG8,drug,drug_3001028,1
dt_O94956,drug,drug_446157,1
dt_Q92887,drug,drug_2554,1
dt_Q4U2R8,drug,drug_4021,1
dt_O15244,drug,drug_681,1
dt_Q13621,drug,drug_5234,1
dt_P08183,drug,drug_446,1
dt_Q92887,drug,drug_60613,1
dt_Q86VD7,drug,drug_317,1
dt_O15438,drug,drug_193962,1
dt_P08183,drug,drug_1234,1
dt_P08183,drug,drug_2771,1
dt_Q16348,drug,drug_6249,1
dt_O95255,drug,drug_105111,1
dt_Q99808,drug,drug_667490,1
dt_O60312,drug,drug_5327011,1
dt_Q9NPD5,drug,drug_124886,1
dt_Q9BXI2,drug,drug_6322,1
dt_O15375,drug,drug_2471,1
dt_P08183,drug,drug_6434889,1
dt_Q92887,drug,drug_3385,1
dt_P46059,drug,drug_38103,1
dt_O00624,drug,drug_2148,1
dt_O15439,drug,drug_118879755,1
dt_Q9UHI5,drug,drug_6305,1
dt_P08183,drug,drug_59708,1
dt_O15438,drug,drug_105111,1
dt_Q9NPD5,drug,drug_5352062,1
dt_A6NK97,drug,drug_3001028,1
dt_Q96FL8,drug,drug_60699,1
dt_P08183,drug,drug_124886,1
dt_O15438,drug,drug_150311,1
dt_P46721,drug,drug_446157,1
dt_Q9H2Y9,drug,drug_5280360,1
dt_O60779,drug,drug_4091,1
dt_Q9Y6L6,drug,drug_213039,1
dt_Q9NPD5,drug,drug_11967809,1
dt_Q96FL8,drug,drug_6333901,1
dt_Q92887,drug,drug_104842,1
dt_Q92887,drug,drug_2909,1
dt_Q9Y6L6,drug,drug_104842,1
dt_P30531,drug,drug_119,1
dt_P08183,drug,drug_4946,1
dt_Q16348,drug,drug_5362065,1
dt_O15245,drug,drug_13597,1
dt_Q9P2U8,drug,drug_33032,1
dt_Q9UNQ0,drug,drug_5281081,1
dt_P33527,drug,drug_2520,1
dt_Q99624,drug,drug_135398658,1
dt_P46059,drug,drug_139030315,1
dt_O15245,drug,drug_5610,1
dt_Q9UNQ0,drug,drug_64987,1
dt_Q12908,drug,drug_6675,1
dt_P08183,drug,drug_33624,1
dt_P08183,drug,drug_9829523,1
dt_O94956,drug,drug_3062,1
dt_P08183,drug,drug_135445694,1
dt_Q05940,drug,drug_1206,1
dt_O15438,drug,drug_5281887,1
dt_P46059,drug,drug_5904,1
dt_P46059,drug,drug_5281037,1
dt_O94956,drug,drug_3310,1
dt_P46721,drug,drug_5281040,1
dt_O15245,drug,drug_4768,1
dt_P35670,drug,drug_84691,1
dt_Q9BZD2,drug,drug_20279,1
